"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"54","Mike Evans","WR","TB","15.6","26.1","14.5","5.5","BYE","","","","","","","","","","","","","","15.4","61.7"
"55","Daniel Jones","QB","NYG","6.5","31.7","5","10.7","7.2","","","","","","","","","","","","","","12.2","61.1"
"56","Deebo Samuel","WR","SF","8.8","19.1","22.1","0.6","10","","","","","","","","","","","","","","12.1","60.6"
"57","Brandon Aiyuk","WR","SF","28.9","5.8","-","17.8","7.8","","","","","","","","","","","","","","15.1","60.3"
"58","Sam LaPorta","TE","DET","6.4","8.8","18.4","7.6","18.2","","","","","","","","","","","","","","11.9","59.4"
"59","Kenny Pickett","QB","PIT","11.7","11.3","18.5","4.5","12.4","","","","","","","","","","","","","","11.7","58.3"
"60","Pittsburgh Steelers","DST","PIT","4","26","11","-1","18","","","","","","","","","","","","","","11.6","58"
"61","Jimmy Garoppolo","QB","LV","16.1","9.5","20.7","-","11.7","","","","","","","","","","","","","","14.5","58"
"62","Jakobi Meyers","WR","LV","24.6","-","12","4.3","17","","","","","","","","","","","","","","14.5","57.9"
"63","Joe Burrow","QB","CIN","3.2","16.4","9.2","4.7","24.4","","","","","","","","","","","","","","11.6","57.8"
"64","Calvin Ridley","WR","JAC","20.1","4.2","5.5","10.8","17.1","","","","","","","","","","","","","","11.5","57.7"
"65","CeeDee Lamb","WR","DAL","9.7","19.8","8.2","12.8","6.9","","","","","","","","","","","","","","11.5","57.4"
"66","Geno Smith","QB","SEA","9.1","23.1","16.4","8.7","BYE","","","","","","","","","","","","","","14.3","57.3"
"67","Brandon Aubrey","K","DAL","10","18","11","12","6","","","","","","","","","","","","","","11.4","57"
"67","Ka'imi Fairbairn","K","HOU","9","8","13","12","15","","","","","","","","","","","","","","11.4","57"
"67","Brett Maher","K","LAR","15","13","11","16","2","","","","","","","","","","","","","","11.4","57"
"70","Amon-Ra St. Brown","WR","DET","16.1","11.2","15.1","14.1","-","","","","","","","","","","","","","","14.1","56.5"
"71","Mac Jones","QB","NE","25.1","14.7","13.3","2.7","0.4","","","","","","","","","","","","","","11.3","56.3"
"72","James Cook","RB","BUF","8.3","17.9","12.2","14.2","3.6","","","","","","","","","","","","","","11.2","56.2"
"73","Zach Wilson","QB","NYJ","9.2","11.4","6.4","19.2","9.6","","","","","","","","","","","","","","11.1","55.7"
"74","Deshaun Watson","QB","CLE","21.7","12.6","21.2","-","BYE","","","","","","","","","","","","","","18.5","55.4"
"75","James Conner","RB","ARI","9.5","16.6","18.6","6.1","4.6","","","","","","","","","","","","","","11.1","55.4"
"76","Josh Reynolds","WR","DET","10","21.1","-","8.4","15.6","","","","","","","","","","","","","","13.8","55.1"
"77","Ryan Tannehill","QB","TEN","5.4","21","4.2","13.7","10.8","","","","","","","","","","","","","","11","55.1"
"78","Christian Kirk","WR","JAC","1.4","16.5","13.4","12.4","11.4","","","","","","","","","","","","","","11","55.1"
"79","Nick Folk","K","TEN","18","10","4","11","12","","","","","","","","","","","","","","11","55"
"80","Tank Dell","WR","HOU","4.9","16.7","23","3.4","6.8","","","","","","","","","","","","","","11","54.8"
"81","Tutu Atwell","WR","LAR","14.9","11.7","15.2","4.9","7.9","","","","","","","","","","","","","","10.9","54.6"
"82","Breece Hall","RB","NYJ","15.2","0.9","3.2","8.4","26.9","","","","","","","","","","","","","","10.9","54.6"
"83","New Orleans Saints","DST","NO","10","7","10","3","24","","","","","","","","","","","","","","10.8","54"
"84","Travis Kelce","TE","KC","-","10.6","16.4","9","17.7","","","","","","","","","","","","","","13.4","53.7"
"85","Joe Mixon","RB","CIN","8.8","11.5","13.5","8.1","11.4","","","","","","","","","","","","","","10.7","53.3"
"86","Michael Pittman Jr.","WR","IND","19.7","9.6","12.2","4","7.7","","","","","","","","","","","","","","10.6","53.2"
"87","Cole Kmet","TE","CHI","6.9","5.8","3.2","24.1","12.7","","","","","","","","","","","","","","10.5","52.7"
"88","DeVonta Smith","WR","PHI","14.2","21.1","4.8","11.3","1.1","","","","","","","","","","","","","","10.5","52.5"
"89","Jordan Addison","WR","MIN","14.1","14.7","8.2","0","15.4","","","","","","","","","","","","","","10.5","52.4"
"90","Alexander Mattison","RB","MIN","11.9","3.4","15","10.3","11.6","","","","","","","","","","","","","","10.4","52.2"
"91","Tyler Bass","K","BUF","13","8","15","14","2","","","","","","","","","","","","","","10.4","52"
"92","Garrett Wilson","WR","NYJ","11.9","15.3","7.3","10.5","6.9","","","","","","","","","","","","","","10.4","51.9"
"93","Romeo Doubs","WR","GB","16.6","4","15.8","14","0.9","","","","","","","","","","","","","","10.3","51.3"
"94","Jake Moody","K","SF","14","14","12","5","6","","","","","","","","","","","","","","10.2","51"
"95","Mark Andrews","TE","BAL","-","13","5.5","22.5","9.5","","","","","","","","","","","","","","12.6","50.5"
"95","Bryce Young","QB","CAR","9.5","13.5","-","7.2","20.3","","","","","","","","","","","","","","12.6","50.5"
"97","T.J. Hockenson","TE","MIN","7.5","22.1","9.8","3.4","7.6","","","","","","","","","","","","","","10.1","50.4"
"98","Derek Carr","QB","NO","15.6","7.7","8.1","3.2","15.7","","","","","","","","","","","","","","10.1","50.3"
"98","Chris Olave","WR","NO","15.2","11.6","14.4","0.9","8.2","","","","","","","","","","","","","","10.1","50.3"
"100","Curtis Samuel","WR","WAS","8.5","4.7","6.4","14.7","15.5","","","","","","","","","","","","","","10","49.8"
"101","Jerome Ford","RB","CLE","1.6","22.6","18.1","7","BYE","","","","","","","","","","","","","","12.3","49.3"
"102","Blake Grupe","K","NO","12","8","5","10","14","","","","","","","","","","","","","","9.8","49"
"103","DeAndre Hopkins","WR","TEN","10","6","6.3","8.3","18","","","","","","","","","","","","","","9.7","48.6"
"104","George Kittle","TE","SF","3.4","4.5","12.5","1.4","26.2","","","","","","","","","","","","","","9.6","48"
"104","Matt Gay","K","IND","3","8","24","1","12","","","","","","","","","","","","","","9.6","48"
"106","DK Metcalf","WR","SEA","12.2","10.5","14.2","10.9","BYE","","","","","","","","","","","","","","12","47.8"
"107","Courtland Sutton","WR","DEN","11.2","9.1","15.1","10.2","1.8","","","","","","","","","","","","","","9.5","47.4"
"108","Zay Flowers","WR","BAL","13.2","8.8","9","6.5","9.8","","","","","","","","","","","","","","9.5","47.3"
"109","Seattle Seahawks","DST","SEA","1","13","3","30","BYE","","","","","","","","","","","","","","11.8","47"
"110","Khalil Herbert","RB","CHI","9.9","6.3","2.5","20.2","7.6","","","","","","","","","","","","","","9.3","46.5"
"111","New York Jets","DST","NYJ","20","0","1","7","18","","","","","","","","","","","","","","9.2","46"
"111","Harrison Butker","K","KC","8","5","12","11","10","","","","","","","","","","","","","","9.2","46"
"113","Chris Boswell","K","PIT","1","12","15","6","11","","","","","","","","","","","","","","9","45"
"113","Cincinnati Bengals","DST","CIN","7","6","11","5","16","","","","","","","","","","","","","","9","45"
"113","Michael Wilson","WR","ARI","2.9","7.1","9.6","23.1","2.3","","","","","","","","","","","","","","9","45"
"116","Terry McLaurin","WR","WAS","4.1","13.9","7.1","12.6","6.9","","","","","","","","","","","","","","8.9","44.6"
"117","Eddy Pineiro","K","CAR","5","13","11","9","6","","","","","","","","","","","","","","8.8","44"
"117","San Francisco 49ers","DST","SF","13","5","8","2","16","","","","","","","","","","","","","","8.8","44"
"117","Tampa Bay Buccaneers","DST","TB","9","17","5","13","BYE","","","","","","","","","","","","","","11","44"
"117","Evan McPherson","K","CIN","4","6","19","3","12","","","","","","","","","","","","","","8.8","44"
"117","Baltimore Ravens","DST","BAL","11","3","7","17","6","","","","","","","","","","","","","","8.8","44"
"122","Dameon Pierce","RB","HOU","5.7","4.5","13.4","11.3","8.7","","","","","","","","","","","","","","8.7","43.6"
"123","Brandon McManus","K","JAC","8","10","5","14","6","","","","","","","","","","","","","","8.6","43"
"124","Kendrick Bourne","WR","NE","21.4","4.9","6.6","4.6","5.3","","","","","","","","","","","","","","8.6","42.8"
"125","Jaleel McLaughlin","RB","DEN","-0.2","6.5","1.5","17.9","16.4","","","","","","","","","","","","","","8.4","42.1"
"126","Philadelphia Eagles","DST","PHI","13","7","12","5","5","","","","","","","","","","","","","","8.4","42"
"126","Detroit Lions","DST","DET","9","0","16","10","7","","","","","","","","","","","","","","8.4","42"
"128","Drake London","WR","ATL","0","15.7","4.1","10.3","11.7","","","","","","","","","","","","","","8.4","41.8"
"129","Michael Thomas","WR","NO","8.6","9","8","7.3","8.5","","","","","","","","","","","","","","8.3","41.4"
"130","Jayden Reed","WR","GB","5.6","17.7","7.8","9","1.2","","","","","","","","","","","","","","8.3","41.3"
"131","Marvin Mims Jr.","WR","DEN","1.9","19.3","15.1","5.7","-1.1","","","","","","","","","","","","","","8.2","40.9"
"131","Amari Cooper","WR","CLE","5.2","12.5","21.1","2.1","BYE","","","","","","","","","","","","","","10.2","40.9"
"133","Mike Williams","WR","LAC","6.5","12.6","21.6","-","BYE","","","","","","","","","","","","","","13.6","40.7"
"134","Evan Engram","TE","JAC","7.4","8.7","10.2","9.4","4.8","","","","","","","","","","","","","","8.1","40.5"
"135","Jason Sanders","K","MIA","14","6","10","2","8","","","","","","","","","","","","","","8","40"
"135","Jacksonville Jaguars","DST","JAC","11","8","-4","20","5","","","","","","","","","","","","","","8","40"
"135","Matt Prater","K","ARI","12","9","13","4","2","","","","","","","","","","","","","","8","40"
"138","Rachaad White","RB","TB","5.9","18.8","5.7","9.3","BYE","","","","","","","","","","","","","","9.9","39.7"
"139","Jaylen Warren","RB","PIT","4.3","10.6","6.7","8.5","9.4","","","","","","","","","","","","","","7.9","39.5"
"139","Rhamondre Stevenson","RB","NE","11.9","13.5","6.7","5","2.4","","","","","","","","","","","","","","7.9","39.5"
"141","Rashid Shaheed","WR","NO","16.5","8.3","6","4.8","3.8","","","","","","","","","","","","","","7.9","39.4"
"142","Tyler Allgeier","RB","ATL","22.9","4.8","3.9","1.7","6","","","","","","","","","","","","","","7.9","39.3"
"143","Greg Zuerlein","K","NYJ","11","-","6","4","18","","","","","","","","","","","","","","9.8","39"
"143","Jason Myers","K","SEA","8","7","18","6","BYE","","","","","","","","","","","","","","9.8","39"
"143","Cairo Santos","K","CHI","7","7","4","4","17","","","","","","","","","","","","","","7.8","39"
"143","Joey Slye","K","WAS","8","11","5","7","8","","","","","","","","","","","","","","7.8","39"
"147","Jaylen Waddle","WR","MIA","9.8","10.4","-","6.6","12","","","","","","","","","","","","","","9.7","38.8"
